,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
162,1155251.0,0.13,True,Centrum-West,52.38295,4.88854,Entire home/apt,2.0,1.0,1.0,11.0,135.0,7.0,180.0,True,3.0,1.0,4.83,False,67.5,945.0,0.09,0.18,0.14,4.99,0.5013698630136987,520.4794520547945
163,1155386.0,0.0,False,De Pijp - Rivierenbuurt,52.34227,4.91217,Entire home/apt,2.0,1.0,2.0,7.0,99.0,6.0,14.0,True,0.0,0.0,4.72,False,49.5,594.0,0.05,0.12,0.16,4.99,0.4383561643835616,499.3150684931507
164,1156220.0,0.5,False,De Baarsjes - Oud-West,52.36874,4.86693,Entire home/apt,4.0,2.0,4.0,16.0,300.0,2.0,21.0,True,0.0,0.0,5.0,False,75.0,600.0,0.07,0.12,0.38,4.99,0.0,1500.0
165,1158662.0,0.5,False,De Baarsjes - Oud-West,52.36042,4.86161,Entire home/apt,2.0,1.0,1.0,12.0,285.0,3.0,30.0,True,0.0,0.0,4.86,False,142.5,855.0,0.13,0.28,0.32,4.99,0.0,1424.86301369863
166,1162769.0,0.41000000000000003,False,Oud-Oost,52.35823,4.92035,Entire home/apt,4.0,2.0,4.0,15.0,295.0,4.0,1125.0,True,0.0,0.0,4.82,False,73.75,1180.0,0.09,0.11,0.26,4.99,0.4438356164383562,1475.0
167,1174506.0,0.08000000000000002,False,De Pijp - Rivierenbuurt,52.35043,4.90079,Entire home/apt,2.0,1.0,1.0,9.0,120.0,4.0,30.0,True,0.0,0.0,4.95,False,60.0,480.0,0.06,0.12,0.17,4.99,0.0,600.0
168,1182421.0,0.56,False,Oud-Noord,52.39259,4.91565,Entire home/apt,4.0,2.0,3.0,2.0,90.0,4.0,1125.0,True,0.0,0.0,4.5,False,22.5,360.0,0.06,0.1,0.16,4.99,0.030136986301369864,551.1095890410959
169,1195666.0,0.63,False,De Baarsjes - Oud-West,52.36501,4.87918,Entire home/apt,4.0,2.0,4.0,12.0,386.0,5.0,25.0,True,1.0,0.0,4.89,False,96.5,1930.0,0.12,0.18,0.22,4.99,0.3095890410958904,1894.1780821917807
170,1224695.0,0.4,False,De Baarsjes - Oud-West,52.37006,4.85853,Entire home/apt,2.0,1.0,1.0,7.0,150.0,8.0,1123.0,True,0.0,0.0,4.77,False,75.0,1200.0,0.06,0.16,0.24,4.99,0.1643835616438356,789.4931506849315
171,1225622.0,0.6,False,De Baarsjes - Oud-West,52.35936,4.86001,Entire home/apt,4.0,2.0,3.0,11.0,160.0,5.0,30.0,True,0.0,0.0,4.92,False,40.0,800.0,0.09,0.13,0.22,4.99,0.005479452054794521,883.9041095890411
172,1236227.0,1.0,True,Centrum-West,52.36646,4.88235,Entire home/apt,4.0,2.0,2.0,23.0,434.0,1.0,365.0,True,2.0,3.0,4.52,False,108.5,434.0,0.1,0.14,0.29,10.99,0.5452054794520548,2369.780821917808
173,1250364.0,0.15,False,De Pijp - Rivierenbuurt,52.35263,4.89093,Entire home/apt,4.0,2.0,3.0,10.0,260.0,3.0,1125.0,True,0.0,0.0,4.84,False,65.0,780.0,0.07,0.16,0.23,4.99,0.40821917808219177,1300.0
